Mods count: 496
 
jar name                                                                           | mod id (isMCreator)                                               | mixin configs
    /META-INF/jars/client_events-2.3.9-beta.51+1.20.1.jar                          | porting_lib_client_events                                         | porting_lib_client_events.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/common-2.3.9-beta.51+1.20.1.jar                                 | porting_lib_common                                                | porting_lib_common.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/config-2.3.9-beta.51+1.20.1.jar                                 | porting_lib_config                                                | porting_lib_config.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
        /META-INF/jars/core-3.6.6.jar                                              | com_electronwill_night-config_core                                | 
        /META-INF/jars/toml-3.6.6.jar                                              | com_electronwill_night-config_toml                                | 
    /META-INF/jars/core-2.3.9-beta.51+1.20.1.jar                                   | porting_lib_core                                                  | 
    /META-INF/jars/cumulus_menus-1.20.1-1.0.2-fabric.jar                           | cumulus_menus                                                     | cumulus_menus.mixins.json
    /META-INF/jars/data-2.3.9-beta.51+1.20.1.jar                                   | porting_lib_data                                                  | porting_lib_data.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
        /META-INF/jars/porting_lib_utility-2.3.9-beta.51+1.20.1.jar                | porting_lib_utility                                               | 
    /META-INF/jars/entity-2.3.9-beta.51+1.20.1.jar                                 | porting_lib_entity                                                | porting_lib_entity.mixins.json
        /META-INF/jars/porting_lib_mixin_extensions-2.3.9-beta.51+1.20.1.jar       | porting_lib_mixin_extensions                                      | porting_lib_mixin_extensions.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/extensions-2.3.9-beta.51+1.20.1.jar                             | porting_lib_extensions                                            | porting_lib_extensions.mixins.json
        /META-INF/jars/porting_lib_accessors-2.3.9-beta.51+1.20.1.jar              | porting_lib_accessors                                             | porting_lib_accessors.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
        /META-INF/jars/porting_lib_common-2.3.9-beta.51+1.20.1.jar                 | porting_lib_common                                                | porting_lib_common.mixins.json
        /META-INF/jars/porting_lib_attributes-2.3.9-beta.51+1.20.1.jar             | porting_lib_attributes                                            | porting_lib_attributes.mixins.json
        /META-INF/jars/reach-entity-attributes-2.4.0.jar                           | reach-entity-attributes                                           | mixins.reach-entity-attributes.json
    /META-INF/jars/fluids-2.3.9-beta.51+1.20.1.jar                                 | porting_lib_fluids                                                | porting_lib_fluids.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/gui_utils-2.3.9-beta.51+1.20.1.jar                              | porting_lib_gui_utils                                             | porting_lib_gui_utils.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/items-2.3.9-beta.51+1.20.1.jar                                  | porting_lib_items                                                 | porting_lib_items.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/lazy_registration-2.3.9-beta.51+1.20.1.jar                      | porting_lib_lazy_registration                                     | 
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/level_events-2.3.9-beta.51+1.20.1.jar                           | porting_lib_level_events                                          | porting_lib_level_events.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/loot-2.3.9-beta.51+1.20.1.jar                                   | porting_lib_loot                                                  | porting_lib_loot.mixins.json
        /META-INF/jars/porting_lib_lazy_registration-2.3.9-beta.51+1.20.1.jar      | porting_lib_lazy_registration                                     | 
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/mm-2.4.1.jar                                                    | mm_shedaniel                                                      | mixins.mm_shedaniel.json
    /META-INF/jars/model_generators-2.3.9-beta.51+1.20.1.jar                       | porting_lib_model_generators                                      | porting_lib_model_generators.mixins.json
        /META-INF/jars/porting_lib_data-2.3.9-beta.51+1.20.1.jar                   | porting_lib_data                                                  | porting_lib_data.mixins.json
        /META-INF/jars/porting_lib_model_materials-2.3.9-beta.51+1.20.1.jar        | porting_lib_model_materials                                       | porting_lib_model_materials.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
        /META-INF/jars/porting_lib_utility-2.3.9-beta.51+1.20.1.jar                | porting_lib_utility                                               | 
    /META-INF/jars/model_loader-2.3.9-beta.51+1.20.1.jar                           | porting_lib_model_loader                                          | porting_lib_model_loader.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/models-2.3.9-beta.51+1.20.1.jar                                 | porting_lib_models                                                | porting_lib_models.mixins.json
        /META-INF/jars/porting_lib_model_loader-2.3.9-beta.51+1.20.1.jar           | porting_lib_model_loader                                          | porting_lib_model_loader.mixins.json
        /META-INF/jars/porting_lib_transfer-2.3.9-beta.51+1.20.1.jar               | porting_lib_transfer                                              | porting_lib_transfer.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
        /META-INF/jars/porting_lib_fluids-2.3.9-beta.51+1.20.1.jar                 | porting_lib_fluids                                                | porting_lib_fluids.mixins.json
    /META-INF/jars/networking-2.3.9-beta.51+1.20.1.jar                             | porting_lib_networking                                            | 
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/nitrogen_internals-1.20.1-1.0.15-fabric.jar                     | nitrogen_internals                                                | nitrogen_internals.mixins.json
    /META-INF/jars/recipe_book_categories-2.3.9-beta.51+1.20.1.jar                 | porting_lib_recipe_book_categories                                | porting_lib_recipe_book_categories.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/tags-2.3.9-beta.51+1.20.1.jar                                   | porting_lib_tags                                                  | porting_lib_tags.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/tool_actions-2.3.9-beta.51+1.20.1.jar                           | porting_lib_tool_actions                                          | porting_lib_tool_actions.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
    /META-INF/jars/transfer-2.3.9-beta.51+1.20.1.jar                               | porting_lib_transfer                                              | porting_lib_transfer.mixins.json
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
        /META-INF/jars/porting_lib_fluids-2.3.9-beta.51+1.20.1.jar                 | porting_lib_fluids                                                | porting_lib_fluids.mixins.json
    /META-INF/jars/utility-2.3.9-beta.51+1.20.1.jar                                | porting_lib_utility                                               | 
        /META-INF/jars/porting_lib_core-2.3.9-beta.51+1.20.1.jar                   | porting_lib_core                                                  | 
almanac-1.20.x-fabric-1.0.2.jar                                                    | almanac                                                           | almanac.mixins.json
alternate-current-mc1.20-1.9.0.jar                                                 | alternate-current                                                 | alternate-current.mixins.json
ambient_fireflies-mc1.20.1-v1.4.0.jar                                              | anxff                                                             | anxff.client.mixins.json, anxff.mixins.json
AmbientSounds_FABRIC_v6.3.1_mc1.20.1.jar                                           | ambientsounds                                                     | ambientsounds.mixins.refmap.json, ambientsounds.mixins.json
amendments-1.20-1.2.16-fabric.jar                                                  | amendments                                                        | amendments-common.mixins.json, amendments.mixins.json
Amplified_Nether_1.20.x_v1.2.5.jar                                                 | amplified_nether                                                  | 
animal_feeding_trough-1.1.0+1.20.1.jar                                             | animal_feeding_trough                                             | mixins.animal_feeding_trough.json
animated-logo-1.2.jar                                                              | animated-logo                                                     | animated-logo.mixins.json
animatica-0.6.1+1.20.4.jar                                                         | animatica                                                         | animatica.mixins.json
another_furniture-fabric-1.20.1-3.0.1.jar                                          | another_furniture                                                 | another_furniture-common.mixins.json, another_furniture.mixins.json
antique-atlas-2.11.0+1.20.jar                                                      | antique_atlas                                                     | antique_atlas.mixins.json
appleskin-fabric-mc1.20.1-2.5.1.jar                                                | appleskin                                                         | appleskin.mixins.json
    /META-INF/jars/cloth-config-fabric-11.0.99.jar                                 | cloth-config                                                      | 
        /META-INF/jars/basic-math-0.6.1.jar                                        | cloth-basic-math                                                  | 
Aquamirae-6.jar                                                                    | aquamirae                                                         | aquamirae.mixins.json
archers-1.3.0+1.20.1.jar                                                           | archers                                                           | archers.mixins.json
    /META-INF/jars/TinyConfig-2.3.2.jar                                            | com_github_zsoltmolnarrr_tinyconfig                               | 
    /META-INF/jars/ranged-weapon-api-1.1.0+1.20.1.jar                              | ranged_weapon_api                                                 | ranged_weapon_api.mixins.json
    /META-INF/jars/structure-pool-api-1.0+1.20.1.jar                               | structure_pool_api                                                | structure_pool.mixins.json
architectury-9.2.14-fabric.jar                                                     | architectury                                                      | architectury.mixins.json, architectury-common.mixins.json
armor-stand-arms-v.1.2.0.jar                                                       | mr_armor_standarms                                                | 
ArmorTrimItemFix-fabric-1.20.1-1.2.0.jar                                           | armortrimitemfix                                                  | 
ash_api-fabric-3.0.2+1.20.1.jar                                                    | ash_api                                                           | ash_api.mixins.json, ash_api.fabric.mixins.json
AttributeFix-Fabric-1.20.1-21.0.4.jar                                              | attributefix                                                      | attributefix.mixins.json
auditory-0.0.6-1.20.1.jar                                                          | auditory                                                          | auditory.mixins.json
    /META-INF/jars/cloth-config-fabric-11.1.118.jar                                | cloth-config                                                      | 
        /META-INF/jars/basic-math-0.6.1.jar                                        | cloth-basic-math                                                  | 
AutochefsDelight-1.20.1-Fabric-1.0.4.jar                                           | autochefsdelight                                                  | autochefsdelight.mixins.json
autoslabs-1.1.3.jar                                                                | autoslabs                                                         | autoslabs.mixins.json
    /META-INF/jars/Statement-4.2.8.jar                                             | statement                                                         | statement.mixins.json
        /META-INF/jars/KanosConfig-0.4.1.jar                                       | kanos_config                                                      | 
        /META-INF/jars/StatementVanillaCompatibility-1.0.1+1.14.4-1.15.2.jar       | statement_vanilla_compatibility                                   | 
        /META-INF/jars/StatementVanillaCompatibility-1.0.1-1.16.5-1.17.jar         | statement_vanilla_compatibility                                   | 
    /META-INF/jars/arrp-0.8.0.jar                                                  | advanced_runtime_resource_pack                                    | arrp.mixins.json
        /META-INF/jars/fabric-api-base-0.4.29+b04edc7a77.jar                       | fabric-api-base                                                   | 
AxesAreWeapons-1.7.3-fabric-1.20.2.jar                                             | axesareweapons                                                    | axesareweapons.common.mixins.json, axesareweapons.fabric.mixins.json
azurelibarmor-fabric-1.20.1-2.0.14.jar                                             | azurelibarmor                                                     | azurelibarmor.mixins.json, azurelibarmor.fabric.mixins.json
backslot-1.2.15.jar                                                                | backslot                                                          | backslot.mixins.json
    /META-INF/jars/amecsapi-1.20-1.5.0+mc1.20-pre1.jar                             | amecsapi                                                          | amecsapi.mixins.json
balm-fabric-1.20.1-7.3.9.jar                                                       | balm-fabric                                                       | balm.mixins.json
    /META-INF/jars/kuma-api-fabric-20.1.8+1.20.1.jar                               | kuma_api                                                          | kuma_api.fabric.mixins.json, kuma_api.mixins.json
BarteringStation-v8.0.0-1.20.1-Fabric.jar                                          | barteringstation                                                  | barteringstation.common.mixins.json
    /META-INF/jars/cardinal-components-base-5.2.1.jar                              | cardinal-components-base                                          | 
    /META-INF/jars/cardinal-components-entity-5.2.1.jar                            | cardinal-components-entity                                        | mixins.cardinal_components_entity.json
bclib-3.0.14.jar                                                                   | bclib                                                             | together.mixins.client.json, together.mixins.common.json, bclib.mixins.client.json, bclib.mixins.common.json, ui.mixins.client.json
    /META-INF/jars/wunderlib-1.1.5.jar                                             | wunderlib                                                         | 
BeaconOverhaul-1.8.4+1.20.jar                                                      | beaconoverhaul                                                    | mixins/beaconoverhaul/mixins.server.json, mixins/beaconoverhaul/mixins.client.json
    /META-INF/jars/fabric-api-base-0.4.29+b04edc7a77.jar                           | fabric-api-base                                                   | 
    /META-INF/jars/fabric-networking-api-v1-1.3.8+b3afc78b77.jar                   | fabric-networking-api-v1                                          | fabric-networking-api-v1.mixins.json, fabric-networking-api-v1.client.mixins.json
    /META-INF/jars/fabric-registry-sync-v0-2.2.6+b3afc78b77.jar                    | fabric-registry-sync-v0                                           | fabric-registry-sync-v0.mixins.json, fabric-registry-sync-v0.client.mixins.json
    /META-INF/jars/fabric-resource-loader-v0-0.11.8+e3d6ed2577.jar                 | fabric-resource-loader-v0                                         | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
    /META-INF/jars/reach-entity-attributes-2.4.0.jar                               | reach-entity-attributes                                           | mixins.reach-entity-attributes.json
bedrock-hotbar-fabric-1.8+1.20.jar                                                 | bedrock_hotbar                                                    | bedrock-hotbar.mixins.json
bestylewither-fabric-mc1.20-1.6.1.jar                                              | bestylewither                                                     | bestylewither-common.mixins.json
better-trim-tooltips-1.0.1.jar                                                     | better-trim-tooltips                                              | better-trim-tooltips.client.mixins.json
BetterAdvancements-Fabric-1.20.1-0.4.2.10.jar                                      | betteradvancements                                                | betteradvancements.mixins.json
betterarcheology-1.2.1-1.20.1.jar                                                  | betterarcheology                                                  | betterarcheology.mixins.json
betterbeds-1.3.0-1.19.3.jar                                                        | betterbeds                                                        | betterbeds.mixins.json
bettercombat-fabric-1.9.0+1.20.1.jar                                               | bettercombat                                                      | bettercombat.mixins.json, bettercombat-fabric.mixins.json
BetterF1-1.0.jar                                                                   | betterf1                                                          | betterf1.mixins.json
BetterF3-7.0.2-Fabric-1.20.1.jar                                                   | betterf3                                                          | betterf3.mixins.json
    /META-INF/jars/cloth-config-fabric-11.1.106.jar                                | cloth-config                                                      | 
        /META-INF/jars/basic-math-0.6.1.jar                                        | cloth-basic-math                                                  | 
    /META-INF/jars/fabric-resource-loader-v0-0.11.8+e3d6ed2577.jar                 | fabric-resource-loader-v0                                         | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
betterstats-3.12.6+fabric-1.20.1.jar                                               | betterstats                                                       | betterstats.mixin.security.json, betterstats.mixin.events.json
BetterTrims-3.2.8-fabric+1.20.1.jar                                                | bettertrims                                                       | bettertrims-client.mixins.json, bettertrims.mixins.json
BHMenu-Fabric-1.20.1-2.4.1.jar                                                     | bhmenu                                                            | bhmenu.mixins.json
BiomeParticleWeather-5.2.4.jar                                                     | biomeparticleweather                                              | biomeparticleweather.mixins.json
blaze-attack-animation-1.0.jar                                                     | mr_blaze_attackanimation                                          | 
blossom-blade-1.2.jar                                                              | mr_blossom_blade                                                  | 
blossom.jar                                                                        | mr_blossom_blade                                                  | 
Boat-Item-View-Fabric-1.20.1-0.0.5.jar                                             | boatiview                                                         | boatiview.mixins.json
    /META-INF/jars/cloth-config-fabric-11.0.99.jar                                 | cloth-config                                                      | 
        /META-INF/jars/basic-math-0.6.1.jar                                        | cloth-basic-math                                                  | 
BoatBreakFix-Universal-1.0.2.jar                                                   | boatbreakfix                                                      | boatbreakfix.mixins.json, boatbreakfix.fq.json
Boids-1.2.2.jar                                                                    | boids                                                             | boids.mixins.json
    /META-INF/jars/jankson-1.2.3.jar                                               | blue_endless_jankson                                              | 
BOMD-1.7.5-1.20.1.jar                                                              | bosses_of_mass_destruction                                        | bosses.mixins.json
    /META-INF/jars/maelstrom-lib-e26888c.jar                                       | maelstrom_library                                                 | maelstrom.mixins.json
    /META-INF/jars/MultipartEntities-1.20-SNAPSHOT.jar                             | multipart_entities                                                | MultipartEntities.mixins.json
Bookshelf-Fabric-1.20.1-20.2.13.jar                                                | bookshelf                                                         | bookshelf.fabric.mixins.json, bookshelf.common.mixins.json
borderless-mining-1.1.8+1.20.1.jar                                                 | borderlessmining                                                  | borderlessmining.mixins.json
    /META-INF/jars/fabric-resource-loader-v0-0.11.7+f7923f6d82.jar                 | fabric-resource-loader-v0                                         | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
bounced-4.1.3-fabric.1.20.jar                                                      | bounced                                                           | bounced.mixins.json
Bountiful-6.0.4+1.20.1-fabric.jar                                                  | bountiful                                                         | 
bygonenether-1.20-1.3.2.jar                                                        | bygonenether                                                      | bygonenether.mixins.json
CameraOverhaul-v2.0.5-fabric+mc[1.20.0-1.20.5].jar                                 | cameraoverhaul                                                    | cameraoverhaul.mixins.json
capes-1.5.2+1.20-fabric.jar                                                        | capes                                                             | capes-common.mixins.json
cardinal-components-api-5.2.2.jar                                                  | cardinal-components                                               | 
    /META-INF/jars/cardinal-components-base-5.2.2.jar                              | cardinal-components-base                                          | 
    /META-INF/jars/cardinal-components-block-5.2.2.jar                             | cardinal-components-block                                         | mixins.cardinal_components_block.json
    /META-INF/jars/cardinal-components-chunk-5.2.2.jar                             | cardinal-components-chunk                                         | mixins.cardinal_components_chunk.json
    /META-INF/jars/cardinal-components-entity-5.2.2.jar                            | cardinal-components-entity                                        | mixins.cardinal_components_entity.json
    /META-INF/jars/cardinal-components-item-5.2.2.jar                              | cardinal-components-item                                          | mixins.cardinal_components_item.json
    /META-INF/jars/cardinal-components-level-5.2.2.jar                             | cardinal-components-level                                         | mixins.cardinal_components_level.json
    /META-INF/jars/cardinal-components-scoreboard-5.2.2.jar                        | cardinal-components-scoreboard                                    | mixins.cardinal_components_scoreboard.json
    /META-INF/jars/cardinal-components-world-5.2.2.jar                             | cardinal-components-world                                         | mixins.cardinal_components_world.json
carryon-fabric-1.20.1-2.1.2.7.jar                                                  | carryon                                                           | carryon.mixins.json, carryon.fabric.mixins.json
cat_jam-fabric-mc1.20-1.3.1.jar                                                    | cat_jam                                                           | cat_jam.mixins.json
cave_dust-3.0.0.jar                                                                | cavedust                                                          | cavedust.mixins.json
    /META-INF/jars/kirin-1.15.6+1.20.1.jar                                         | kirin                                                             | kirin.mixin.refmap.json, kirin.mixin.json
caveoverhaul-fabric-1.20.1-1.3.3.2.jar                                             | caveoverhaul                                                      | caveoverhaul.mixins.json
charm-fabric-1.20.1-forked-6.0.23.jar                                              | charm                                                             | charm.mixins.json
    /META-INF/jars/toml4j-0.7.2.jar                                                | com_moandjiezana_toml_toml4j                                      | 
    /META-INF/jars/core-3.6.6.jar                                                  | com_electronwill_night-config_core                                | 
    /META-INF/jars/toml-3.6.6.jar                                                  | com_electronwill_night-config_toml                                | 
    /META-INF/jars/charmony-fabric-1.20.1-6.15.1.jar                               | charmony                                                          | charmony.mixins.json
        /META-INF/jars/toml4j-0.7.2.jar                                            | com_moandjiezana_toml_toml4j                                      | 
        /META-INF/jars/core-3.6.6.jar                                              | com_electronwill_night-config_core                                | 
        /META-INF/jars/toml-3.6.6.jar                                              | com_electronwill_night-config_toml                                | 
